Date,EUR_USD_Close
2014-01-31,1.3487
2014-02-03,1.3531
2014-02-04,1.3515
2014-02-05,1.3531
2014-02-06,1.3588
2014-02-07,1.3638
2014-02-10,1.3634
2014-02-11,1.3637
2014-02-12,1.3592
2014-02-13,1.368
2014-02-14,1.3697
2014-02-17,1.3708
2014-02-18,1.3757
2014-02-19,1.3733
2014-02-20,1.372
2014-02-21,1.374
2014-02-24,1.3734
2014-02-25,1.3742
2014-02-26,1.3685
2014-02-27,1.3707
2014-02-28,1.3806
2014-03-03,1.3729
2014-03-04,1.3738
2014-03-05,1.3732
2014-03-06,1.3859
2014-03-07,1.3869
2014-03-10,1.3869
2014-03-11,1.3864
2014-03-12,1.3906
2014-03-13,1.3859
2014-03-14,1.3908
2014-03-17,1.3923
2014-03-18,1.3934
2014-03-19,1.3829
2014-03-20,1.3775
2014-03-21,1.3796
2014-03-24,1.384
2014-03-25,1.3824
2014-03-26,1.3793
2014-03-27,1.3744
2014-03-28,1.375
2014-03-31,1.3781
2014-04-01,1.3793
2014-04-02,1.3762
2014-04-03,1.3715
2014-04-04,1.3705
2014-04-07,1.3743
2014-04-08,1.3794
2014-04-09,1.3851
2014-04-10,1.3887
2014-04-11,1.3882
2014-04-14,1.382
2014-04-15,1.3813
2014-04-16,1.3813
2014-04-17,1.3814
2014-04-18,1.3818
2014-04-21,1.3793
2014-04-22,1.3804
2014-04-23,1.3816
2014-04-24,1.3827
2014-04-25,1.3832
2014-04-28,1.3848
2014-04-29,1.3811
2014-04-30,1.387
2014-05-01,1.3865
2014-05-02,1.387
2014-05-05,1.3876
2014-05-06,1.3928
2014-05-07,1.3912
2014-05-08,1.3852
2014-05-09,1.3754
2014-05-12,1.3757
2014-05-13,1.3701
2014-05-14,1.371
2014-05-15,1.371
2014-05-16,1.37
2014-05-19,1.3709
2014-05-20,1.3698
2014-05-21,1.3685
2014-05-22,1.3654
2014-05-23,1.363
2014-05-26,1.3645
2014-05-27,1.3636
2014-05-28,1.3594
2014-05-29,1.3602
2014-05-30,1.3631
2014-06-02,1.3597
2014-06-03,1.3625
2014-06-04,1.3599
2014-06-05,1.3653
2014-06-06,1.3644
2014-06-09,1.3587
2014-06-10,1.3545
2014-06-11,1.3529
2014-06-12,1.3564
2014-06-13,1.3538
2014-06-16,1.357
2014-06-17,1.3543
2014-06-18,1.358
2014-06-19,1.3602
2014-06-20,1.3595
2014-06-23,1.3603
2014-06-24,1.3601
2014-06-25,1.363
2014-06-26,1.3607
2014-06-27,1.3646
2014-06-30,1.3693
2014-07-01,1.3677
2014-07-02,1.3655
2014-07-03,1.3603
2014-07-04,1.3594
2014-07-07,1.3607
2014-07-08,1.3612
2014-07-09,1.3644
2014-07-10,1.3603
2014-07-11,1.3608
2014-07-14,1.3619
2014-07-15,1.3567
2014-07-16,1.3523
2014-07-17,1.3528
2014-07-18,1.3526
2014-07-21,1.3521
2014-07-22,1.3468
2014-07-23,1.346
2014-07-24,1.3463
2014-07-25,1.3432
2014-07-28,1.3433
2014-07-29,1.341
2014-07-30,1.3393
2014-07-31,1.3388
2014-08-01,1.3423
2014-08-04,1.342
2014-08-05,1.3375
2014-08-06,1.3379
2014-08-07,1.3364
2014-08-08,1.3412
2014-08-11,1.3384
2014-08-12,1.3367
2014-08-13,1.3368
2014-08-14,1.3369
2014-08-15,1.3392
2014-08-18,1.3361
2014-08-19,1.3321
2014-08-20,1.3263
2014-08-21,1.328
2014-08-22,1.3244
2014-08-25,1.3194
2014-08-26,1.3176
2014-08-27,1.3197
2014-08-28,1.3184
2014-08-29,1.3139
2014-09-01,1.3136
2014-09-02,1.3133
2014-09-03,1.3145
2014-09-04,1.2945
2014-09-05,1.2952
2014-09-08,1.2899
2014-09-09,1.2943
2014-09-10,1.2908
2014-09-11,1.2917
2014-09-12,1.2949
2014-09-15,1.2939
2014-09-16,1.2962
2014-09-17,1.2879
2014-09-18,1.2918
2014-09-19,1.2836
2014-09-22,1.2844
2014-09-23,1.2857
2014-09-24,1.2786
2014-09-25,1.2749
2014-09-26,1.2681
2014-09-29,1.269
2014-09-30,1.2629
